Name;District;Municipality;Township;Line
Bombel;Evora;Vendas Novas;Vendas Novas;Linha do Alentejo
Rio Meao;Aveiro;Santa Maria da Feira;Rio Meao;Linha do Vouga
Roma - Areeiro;Lisboa;Lisboa;Alvalade;Linha de Cintura
Entrecampos - Poente;Lisboa;Lisboa;Avenidas Novas;Linha de Cintura
Sete Rios;Lisboa;Lisboa;Sao Domingos de Benfica;Linha de Cintura
Boliqueime;Faro;Loule;Boliqueime;Linha do Algarve
Santo Tirso;Porto;Santo Tirso;St. Tirso, Couto (s. Cristina e S. Miguel) e Burgaes;Linha de Guimaraes
Urgueiras;Aveiro;Albergaria-a-Velha;Albergaria-a-Velha e Valmaior;Linha do Vouga
Chelas;Lisboa;Lisboa;Beato;Linha de Cintura
Alcantara-Mar;Lisboa;Lisboa;Estrela;Linha de Cascais
Penalva;Setubal;Palmela;Quinta do Anjo;Linha do Sul
Alcantara-Terra;Lisboa;Lisboa;Estrela;Linha de Cintura
Ferragudo;Faro;Lagoa;Estombar e Parchal;Linha do Algarve
Cuba;Beja;Cuba;Cuba;Linha do Alentejo
Mata;Portalegre;Alter do Chao;Chancelaria;Linha do Leste
Alvito;Beja;Alvito;Alvito;Linha do Alentejo
Vila Nova da Baronia;Beja;Alvito;Vila Nova da Baronia;Linha do Alentejo
Sao Joao das Craveiras;Setubal;Montijo;Pegoes;Linha do Alentejo
Moita;Setubal;Moita;Moita;Linha do Alentejo
Agualva-Cacem;Lisboa;Sintra;Agualva e Mira-Sintra;Linha de Sintra
Beja;Beja;Beja;Beja (salvador e Santa Maria da Feira);Linha do Alentejo
Panoias;Beja;Ourique;Panoias e Conceicao;Linha do Alentejo
Sintra;Lisboa;Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;Linha de Sintra
Alcacovas;Evora;Evora;N. S. da Tourega e N. S. de Guadalupe;Linha do Alentejo
Coimbroes;Porto;Vila Nova de Gaia;Canidelo;Linha do Norte
Pataias;Leiria;Alcobaca;Pataias e Martinganca;Linha do Oeste
Muxagata;Guarda;Fornos de Algodres;Figueiro da Granja;Linha da Beira Alta
Almourol;Santarem;Vila Nova da Barquinha;Praia do Ribatejo;Linha da Beira Baixa
Verride;Coimbra;Montemor-o-Velho;Abrunheira, Verride e Vila Nova da Barca;Ramal de Alfarelos
Alhos Vedros;Setubal;Moita;Alhos Vedros;Linha do Alentejo
Baixa da Banheira;Setubal;Moita;Baixa da Banheira e Vale da Amoreira;Linha do Alentejo
Sernada do Vouga;Aveiro;Agueda;Macinhata do Vouga;Linha do Vouga
Oliveira do Bairro;Aveiro;Oliveira do Bairro;Oliveira do Bairro;Linha do Norte
Rio de Mouro;Lisboa;Sintra;Rio de Mouro;Linha de Sintra
Barreiro-A;Setubal;Barreiro;Barreiro e Lavradio;Linha do Alentejo
Barreiro;Setubal;Barreiro;Barreiro e Lavradio;Linha do Alentejo
Massama-Barcarena;Lisboa;Oeiras;Barcarena;Linha de Sintra
Monte Abraao;Lisboa;Sintra;Queluz e Belas;Linha de Sintra
Lavre;Santarem;Coruche;Santana do Mato;Linha de Vendas Novas
Sao Torcato;Santarem;Coruche;Coruche, Fajarda e Erra;Linha de Vendas Novas
Salgueirinha;Santarem;Coruche;Coruche, Fajarda e Erra;Linha de Vendas Novas
Quintans;Aveiro;Aveiro;Oliveirinha;Linha do Norte
Lousal;Setubal;Grandola;Azinheira dos Barros e Sao Mamede do Sadao;Linha do Sul
Porto Sao Bento;Porto;Porto;Cedofeita, Ildefonso, Se, Miragaia, Nicolau, Vitoria;Linha do Minho
Algueirao-Mem Martins;Lisboa;Sintra;Algueirao-Mem Martins;Linha de Sintra
Lisboa Santa Apolonia;Lisboa;Lisboa;Sao Vicente;Linha do Norte
Morgado;Santarem;Cartaxo;Valada;Linha de Vendas Novas
Chanca;Portalegre;Alter do Chao;Chancelaria;Linha do Leste
Bifurcacao de Lares;Coimbra;Montemor-o-Velho;Abrunheira, Verride e Vila Nova da Barca;Linha do Oeste
Montemor;Coimbra;Soure;Alfarelos;Ramal de Alfarelos
Cruz Quebrada;Lisboa;Oeiras;Alges, Linda-a-Velha e Cruz Quebrada-Dafundo;Linha de Cascais
Santa Eulalia-A;Portalegre;Elvas;Santa Eulalia;Linha do Leste
Belem;Lisboa;Lisboa;Belem;Linha de Cascais
Ponte de Sor;Portalegre;Ponte de Sor;Ponte de Sor, Tramaga e Vale de Acor;Linha do Leste
Coina;Setubal;Seixal;Seixal, Arrentela e Aldeia de Paio Pires;Linha do Sul
Arrifana;Aveiro;Santa Maria da Feira;Arrifana;Linha do Vouga
Pocinho;Guarda;Vila Nova de Foz Coa;Vila Nova de Foz Coa;Linha do Douro
Fuseta;Faro;Olhao;Moncarapacho e Fuseta;Linha do Algarve
Ourique;Beja;Castro Verde;Castro Verde e Casevel;Linha do Alentejo
Monte das Flores;Evora;Evora;Malagueira e Horta das Figueiras;Linha de Evora
Alcantarilha;Faro;Silves;Alcantarilha e Pera;Linha do Algarve
Poco Barreto;Faro;Silves;Silves;Linha do Algarve
Paredes;Porto;Paredes;Paredes;Linha do Douro
Benfica;Lisboa;Lisboa;Benfica;Linha de Sintra
Sao Bartolomeu da Serra;Setubal;Santiago do Cacem;Santiago do Cacem, S. Cruz e S. Bartolomeu da Serra;Linha de Sines
Riachos - Torres Novas - Golega;Santarem;Torres Novas;Riachos;Linha do Norte
Silves;Faro;Silves;Silves;Linha do Algarve
Bom Joao;Faro;Faro;Faro (se e Sao Pedro);Linha do Algarve
Santana Cartaxo;Santarem;Cartaxo;Vila Cha de Ourique;Linha do Norte
Pereiras;Beja;Odemira;Santa Clara-a-Velha;Linha do Sul
Monte Novo-Palma;Setubal;Alcacer do Sal;Santa Maria do Castelo e Santiago e Santa Susana;Linha do Sul
Aguda;Porto;Vila Nova de Gaia;Arcozelo;Linha do Norte
Azinheira dos Barros  a;Setubal;Grandola;Azinheira dos Barros e Sao Mamede do Sadao;Linha do Sul
Formoselha / Santo Varao;Coimbra;Montemor-o-Velho;Santo Varao;Linha do Norte
Almancil;Faro;Loule;Almancil;Linha do Algarve
Agolada;Santarem;Coruche;Coruche, Fajarda e Erra;Linha de Vendas Novas
Fatela-Penamacor;Castelo Branco;Fundao;Enxames;Linha da Beira Baixa
Alcains;Castelo Branco;Castelo Branco;Alcains;Linha da Beira Baixa
Silvalde;Aveiro;Espinho;Silvalde;Linha do Norte
Salir do Porto;Leiria;Caldas da Rainha;Tornada e Salir do Porto;Linha do Oeste
Parque das Cidades;Faro;Loule;Almancil;Linha do Algarve
Pero Negro;Lisboa;Sobral de Monte Agraco;Sapataria;Linha do Oeste
Castelejo;Viseu;Santa Comba Dao;Sao Joao de Areias;Linha da Beira Alta
Agueda;Aveiro;Agueda;Agueda e Borralha;Linha do Vouga
Mortagua;Viseu;Mortagua;Mortagua, Vale de Remigio, Cortegaca e Almaca;Linha da Beira Alta
Figueira da Foz;Coimbra;Figueira da Foz;Buarcos e Sao Juliao;Linha do Oeste
Barcelos;Braga;Barcelos;Arcozelo;Linha do Minho
Monte dos Lobos;Viseu;Mortagua;Mortagua, Vale de Remigio, Cortegaca e Almaca;Linha da Beira Alta
Estombar-Lagoa;Faro;Lagoa;Estombar e Parchal;Linha do Algarve
Trofa;Porto;Trofa;Bougado (sao Martinho e Santiago);Linha do Minho
Desvio de Picotas;Beja;Castro Verde;Castro Verde e Casevel;Ramal Neves Corvo
Minas de Neves Corvo;Beja;Castro Verde;Santa Barbara de Padroes;Ramal Neves Corvo
Palmilheira;Porto;Maia;Aguas Santas;Linha do Minho
Cavaco;Aveiro;Santa Maria da Feira;Santa Maria da Feira, Travanca, Sanfins e Espargo;Linha do Vouga
Famalicao da Nazare;Leiria;Nazare;Famalicao;Linha do Oeste
Aguieira;Aveiro;Agueda;Valongo do Vouga;Linha do Vouga
Valongo;Porto;Valongo;Valongo;Linha do Douro
Carvalha;Viana do Castelo;Vila Nova de Cerveira;Campos e Vila Mea;Linha do Minho
Pego;Aveiro;Mealhada;Vacarica;Linha da Beira Alta
Praia do Ribatejo;Santarem;Vila Nova da Barquinha;Praia do Ribatejo;Linha da Beira Baixa
Marujal;Coimbra;Montemor-o-Velho;Abrunheira Verride e Vila Nova da Barca;Ramal de Alfarelos
Entrecampos;Lisboa;Lisboa;Alvalade;Linha de Cintura
Viana;Evora;Viana do Alentejo;Viana do Alentejo;Linha do Alentejo
Pegoes;Setubal;Montijo;Pegoes;Linha do Alentejo
Merces;Lisboa;Sintra;Algueirao-Mem Martins;Linha de Sintra
Garvao;Beja;Ourique;Garvao e Santa Luzia;Linha do Sul
Reboleira;Lisboa;Amadora;Aguas Livres;Linha de Sintra
Marinhais;Santarem;Salvaterra de Magos;Marinhais;Linha de Vendas Novas
Muge;Santarem;Salvaterra de Magos;Muge;Linha de Vendas Novas
Canal-Caveira;Setubal;Grandola;Grandola e Santa Margarida da Serra;Linha do Sul
Vendas Novas;Evora;Vendas Novas;Vendas Novas;Linha do Alentejo
Sao Pedro do Estoril;Lisboa;Cascais;Cascais e Estoril;Linha de Cascais
Cascais;Lisboa;Cascais;Cascais e Estoril;Linha de Cascais
Estoril;Lisboa;Cascais;Cascais e Estoril;Linha de Cascais
Sao Joao do Estoril;Lisboa;Cascais;Cascais e Estoril;Linha de Cascais
Paco de Arcos;Lisboa;Oeiras;Oeiras e S. Juliao da Barra Paco de Arcos e Caxias;Linha de Cascais
Caxias;Lisboa;Oeiras;Oeiras e S. Juliao da Barra Paco de Arcos e Caxias;Linha de Cascais
Crato;Portalegre;Crato;Crato e Martires Flor da Rosa e Vale do Peso;Linha do Leste
Fogueteiro;Setubal;Seixal;Seixal Arrentela e Aldeia de Paio Pires;Linha do Sul
Foros de Amora;Setubal;Seixal;Amora;Linha do Sul
Pragal;Setubal;Almada;Almada, Cova da Piedade, Pragal e Cacilhas;Linha do Sul
Alvito-A;Lisboa;Lisboa;Alcantara;Linha do Sul
Fuseta-A;Faro;Olhao;Moncarapacho e Fuseta;Linha do Algarve
Cacela;Faro;Vila Real de Santo Antonio;Vila Nova de Cacela;Linha do Algarve
Durraes;Braga;Barcelos;Durraes e Tregosa;Linha do Minho
Povoa;Lisboa;Vila Franca de Xira;Povoa de Santa Iria e Forte da Casa;Linha do Norte
Portimao;Faro;Portimao;Portimao;Linha do Algarve
Caide;Porto;Lousada;Caide de Rei;Linha do Douro
Albergaria dos Doze;Leiria;Pombal;Santiago e S. Simao de Litem e Albergaria dos Doze;Linha do Norte
Vizela;Braga;Vizela;Caldas de Vizela (sao Miguel e Sao Joao);Linha de Guimaraes
Mexilhoeira Grande;Faro;Portimao;Mexilhoeira Grande;Linha do Algarve
Messines-Alte;Faro;Silves;Sao Bartolomeu de Messines;Linha do Sul
Sao Marcos;Faro;Silves;Sao Marcos da Serra;Linha do Sul
Santa Clara-Saboia;Beja;Odemira;Santa Clara-a-Velha;Linha do Sul
Luzianes;Beja;Odemira;Luzianes-Gare;Linha do Sul
Lagos;Faro;Lagos;Sao Goncalo de Lagos;Linha do Algarve
Castro Marim;Faro;Castro Marim;Castro Marim;Linha do Algarve
Alvaraes;Viana do Castelo;Viana do Castelo;Alvaraes;Linha do Minho
Grandola Norte;Setubal;Grandola;Grandola e Santa Margarida da Serra;Linha do Sul
Loule;Faro;Loule;Loule (sao Sebastiao);Linha do Algarve
Conceicao;Faro;Tavira;Conceicao e Cabanas de Tavira;Linha do Algarve
Moledo do Minho;Viana do Castelo;Caminha;Moledo e Cristelo;Linha do Minho
Valega;Aveiro;Ovar;Valega;Linha do Norte
Bifurcacao de Torre Va;Beja;Ourique;Panoias e Conceicao;Linha do Sul
Alvalade;Setubal;Santiago do Cacem;Alvalade;Linha do Sul
Carregado;Lisboa;Vila Franca de Xira;Castanheira do Ribatejo e Cachoeiras;Linha do Norte
Figueiredo;Aveiro;Oliveira de Azemeis;Pinheiro da Bemposta, Travanca e Palmaz;Linha do Vouga
Vale de Guizo;Setubal;Alcacer do Sal;Santa Maria do Castelo e Santiago e Santa Susana;Linha do Sul
Ovar;Aveiro;Ovar;Ovar, S. Joao, Arada e S. Vicente de Pereira Jusa;Linha do Norte
Miramar;Porto;Vila Nova de Gaia;Arcozelo;Linha do Norte
Pinheiro;Setubal;Alcacer do Sal;Santa Maria do Castelo e Santiago e Santa Susana;Linha do Sul
Monte Gordo;Faro;Vila Real de Santo Antonio;Monte Gordo;Linha do Algarve
Soudos - Vila Nova;Santarem;Tomar;Paialvo;Ramal de Tomar
Albufeira - Ferreiras;Faro;Albufeira;Ferreiras;Linha do Algarve
Vale da Rosa;Setubal;Setubal;Sado;Linha do Sul
Mourisca-Sado;Setubal;Setubal;Gambia-Pontes-Alto da Guerra;Linha do Sul
Eirol;Aveiro;Aveiro;Eixo e Eirol;Linha do Vouga
Cachofarra;Setubal;Setubal;Setubal (sao Sebastiao);Linha do Sul
Praca do Quebedo;Setubal;Setubal;S. Juliao, N. S. da Anunciada e S. Maria da Graca;Linha do Sul
Vila Real de Sto Antonio;Faro;Vila Real de Santo Antonio;Vila Real de Santo Antonio;Linha do Algarve
Palmela - a;Setubal;Palmela;Palmela;Linha do Sul
Palmela;Setubal;Palmela;Palmela;Linha do Sul
Praias-Sado-A;Setubal;Setubal;Setubal (sao Sebastiao);Linha do Sul
Porto Rei;Vila Real;Mesao Frio;Barqueiros;Linha do Douro
Venda do Alcaide;Setubal;Palmela;Palmela;Linha do Sul
Braco de Prata;Lisboa;Lisboa;Marvila;Linha do Norte
Aguas de Moura;Setubal;Setubal;Gambia-Pontes-Alto da Guerra;Linha do Sul
Corroios;Setubal;Seixal;Corroios;Linha do Sul
Ancora Praia;Viana do Castelo;Caminha;Vila Praia de Ancora;Linha do Minho
Santa Cruz/damaia;Lisboa;Amadora;Aguas Livres;Linha de Sintra
Lisboa Rossio;Lisboa;Lisboa;Santa Maria Maior;Linha de Sintra
Santa Cita;Santarem;Tomar;Madalena e Beselga;Ramal de Tomar
Lourical;Leiria;Pombal;Carrico;Linha do Oeste
Ameal-Sul;Coimbra;Montemor-o-Velho;Pereira;Linha do Norte
Freineda;Guarda;Almeida;Freineda;Linha da Beira Alta
Baracal;Guarda;Celorico da Beira;Baracal;Linha da Beira Alta
Celorico da Beira;Guarda;Celorico da Beira;Forno Telheiro;Linha da Beira Alta
Papizios;Viseu;Carregal do Sal;Carregal do Sal;Linha da Beira Alta
Mourisca do Vouga;Aveiro;Agueda;Trofa, Segadaes e Lamas do Vouga;Linha do Vouga
Cacia;Aveiro;Aveiro;Cacia;Linha do Norte
Sacavem;Lisboa;Loures;Sacavem e Prior Velho;Linha do Norte
Reguengo - Vale da Pedra - Pontevel;Santarem;Cartaxo;Vale da Pedra;Linha do Norte
Esqueiro;Viana do Castelo;Caminha;Lanhelas;Linha do Minho
Cabanoes;Aveiro;Agueda;Travasso e Ois da Ribeira;Linha do Vouga
Azurva;Aveiro;Aveiro;Eixo e Eirol;Linha do Vouga
Leixoes;Porto;Matosinhos;Matosinhos e Leca da Palmeira;Linha de Leixoes
Louro;Braga;Vila Nova de Famalicao;Louro;Linha do Minho
Eixo;Aveiro;Aveiro;Eixo e Eirol;Linha do Vouga
Bustelo;Porto;Penafiel;Bustelo;Linha do Douro
Vale de Santarem;Santarem;Santarem;Vale de Santarem;Linha do Norte
Ermesinde - B;Porto;Valongo;Ermesinde;Concordancia Sao Gemil
Silvalde-Vouga;Aveiro;Espinho;Silvalde;Linha do Vouga
Aregos;Porto;Baiao;Santa Cruz do Douro e Sao Tome de Covelas;Linha do Douro
Espadaneira;Coimbra;Coimbra;Sao Martinho do Bispo e Ribeira de Frades;Linha do Norte
Esgueira;Aveiro;Aveiro;Esgueira;Linha do Vouga
Travagem;Porto;Valongo;Ermesinde;Linha do Minho
Marinha Grande;Leiria;Marinha Grande;Marinha Grande;Linha do Oeste
Canelas;Aveiro;Estarreja;Canelas e Fermela;Linha do Norte
Caminha;Viana do Castelo;Caminha;Caminha (matriz) e Vilarelho;Linha do Minho
Litem;Leiria;Pombal;Santiago e S. Simao de Litem e Albergaria dos Doze;Linha do Norte
Sampaio-Oleiros;Aveiro;Santa Maria da Feira;Sao Paio de Oleiros;Linha do Vouga
Sao Joao de Loure;Aveiro;Aveiro;Eixo e Eirol;Linha do Vouga
Carreira;Braga;Barcelos;Carreira e Fonte Coberta;Linha do Minho
Santarem;Santarem;Santarem;Uniao das Freguesias da Cidade de Santarem;Linha do Norte
Fungalvaz;Santarem;Torres Novas;Assentiz;Linha do Norte
Chao de Macas-Fatima;Santarem;Tomar;Sabacheira;Linha do Norte
Mira Sintra - Melecas;Lisboa;Sintra;Queluz e Belas;Linha do Oeste
Barca da Amieira -Envendos;Santarem;Macao;Envendos;Linha da Beira Baixa
Runa;Lisboa;Torres Vedras;Dois Portos e Runa;Linha do Oeste
Ferrao;Vila Real;Sabrosa;Covas do Douro;Linha do Douro
Vila Fernando;Guarda;Guarda;Vila Fernando;Linha da Beira Alta
Mafra;Lisboa;Mafra;Igreja Nova e Cheleiros;Linha do Oeste
Castelo Mendo;Guarda;Almeida;Castelo Mendo, Ade, Monteperobolso e Mesquitela;Linha da Beira Alta
Macainhas;Castelo Branco;Belmonte;Macainhas;Linha da Beira Baixa
Malveira;Lisboa;Mafra;Malveira e Sao Miguel de Alcainca;Linha do Oeste
Rochoso;Guarda;Guarda;Rochoso e Monte Margarida;Linha da Beira Alta
Sarnadas;Castelo Branco;Vila Velha de Rodao;Sarnadas de Rodao;Linha da Beira Baixa
Covilha;Castelo Branco;Covilha;Covilha e Canhoso;Linha da Beira Baixa
Alegria;Braganca;Carrazeda de Ansiaes;Linhares;Linha do Douro
Livramento;Faro;Tavira;Luz de Tavira e Santo Estevao;Linha do Algarve
Porta Nova;Faro;Tavira;Tavira (santa Maria e Santiago);Linha do Algarve
Casa Branca;Evora;Montemor-o-Novo;Santiago do Escoural;Linha do Alentejo
Tancos;Santarem;Vila Nova da Barquinha;Praia do Ribatejo;Linha da Beira Baixa
Queluz-Belas;Lisboa;Sintra;Queluz e Belas;Linha de Sintra
Reveles;Coimbra;Montemor-o-Velho;Abrunheira, Verride e Vila Nova da Barca;Ramal de Alfarelos
Vidigal;Evora;Vendas Novas;Vendas Novas;Linha de Vendas Novas
Canha;Setubal;Montijo;Canha;Linha de Vendas Novas
Amoreiras-Odemira;Beja;Odemira;Sao Martinho das Amoreiras;Linha do Sul
Azinheira dos Barros;Setubal;Grandola;Azinheira dos Barros e Sao Mamede do Sadao;Linha do Sul
Petrogal - Asfaltos;Setubal;Sines;Sines;Ramal Petrogal - Asfaltos
Ribeira de Seica;Coimbra;Figueira da Foz;Paiao;Linha do Oeste
Fornos de Algodres;Guarda;Fornos de Algodres;Fornos de Algodres;Linha da Beira Alta
Barragem de Belver;Santarem;Macao;Ortiga;Linha da Beira Baixa
Benespera;Guarda;Guarda;Benespera;Linha da Beira Baixa
Monte Real;Leiria;Leiria;Souto da Carpalhosa e Ortigosa;Linha do Oeste
Moimenta Alcafache;Viseu;Mangualde;Espinho;Linha da Beira Alta
Esmoriz;Aveiro;Ovar;Esmoriz;Linha do Norte
Godim;Vila Real;Peso da Regua;Peso da Regua e Godim;Linha do Douro
Miuzela;Guarda;Almeida;Miuzela e Porto de Ovelha;Linha da Beira Alta
Vale de Prazeres;Castelo Branco;Fundao;Vale de Prazeres e Mata da Rainha;Linha da Beira Baixa
Obidos;Leiria;Obidos;Santa Maria, Sao Pedro e Sobral da Lagoa;Linha do Oeste
Amieira;Coimbra;Soure;Samuel;Linha do Oeste
Vila Franca das Naves;Guarda;Trancoso;Vila Franca das Naves e Feital;Linha da Beira Alta
Camarao;Leiria;Bombarral;Bombarral e Vale Covo;Linha do Oeste
Raquete;Setubal;Sines;Sines;Linha de Sines
Tomar;Santarem;Tomar;Sao Joao Baptista e Santa Maria dos Olivais;Ramal de Tomar
Desvio Km 19.5;Santarem;Salvaterra de Magos;Gloria do Ribatejo e Granho;Linha de Vendas Novas
Grandola;Setubal;Grandola;Grandola e Santa Margarida da Serra;Linha do Sul
Alvega-Ortiga;Santarem;Macao;Ortiga;Linha da Beira Baixa
Sapataria;Lisboa;Sobral de Monte Agraco;Sapataria;Linha do Oeste
Leiria;Leiria;Leiria;Marrazes e Barosa;Linha do Oeste
Arronches;Portalegre;Arronches;Assuncao;Linha do Leste
Caria;Castelo Branco;Belmonte;Caria;Linha da Beira Baixa
Canas Felgueira;Viseu;Nelas;Canas de Senhorim;Linha da Beira Alta
Macinhata;Aveiro;Agueda;Macinhata do Vouga;Linha do Vouga
Carvalheira - Maceda;Aveiro;Ovar;Maceda;Linha do Norte
Francelos Sul;Porto;Vila Nova de Gaia;Gulpilhares e Valadares;Linha do Norte
Francelos Norte;Porto;Vila Nova de Gaia;Gulpilhares e Valadares;Linha do Norte
